Title,URL,Duration,Date,Views,Likes,Dislikes,Show,Description,Day Of The Week,Days Since Published,Views Per Day,Likes Per Day,Dislikes Per Day,Likes Minus Dislikes,Geoff,Jack,Gavin,Ryan,Ray,Michael,Lindsey,Caleb,Kdin,Matt,Jeremy,Barbara,Brandon,Burnie,Kerry,Dan,Lindsay
Let's Play Minecraft - Episode 159 - Dino Dads,https://www.youtube.com/watch?v=C3Vy3tcEqPM,39.0,2015-06-12,1094853,18849,327,Let's Play,God creates dinosaur. God destroys dinosaur. God creates man. Man creates Minecraft. Modders create dinosaur mods. Dinosaur mods destroy Minecraft. Screaming...,Friday,34,32202.0,554.0,10.0,18522,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Orion Prelude,https://www.youtube.com/watch?v=JF91qvP716s,37.0,2015-06-11,539377,7606,130,Let's Play,The AH Crew continue their goal of total dinosaur extinction by hunting dinos in Orion Prelude! || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of th...,Thursday,35,15411.0,217.0,4.0,7476,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VS Episode 119: Jeremy vs. Lindsay,https://www.youtube.com/watch?v=0wmx7vwtWhc,4.8,2015-06-11,308377,7222,146,VS,Jeremy and Lindsay embrace their inner Calebs. || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the Achievement Hunter Crew: http://bit.ly/achievem...,Thursday,35,8811.0,206.0,4.0,7076,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
Let's Watch - The Lost World: Jurassic Park - Ryan's Attempt,https://www.youtube.com/watch?v=5agxxqtt4uo,19.0,2015-06-11,342791,6835,149,Let's Watch,Gavin sucks. Ryan rules. Griffon shows up and makes everything better. || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the Achievement Hunter Crew...,Thursday,35,9794.0,195.0,4.0,6686,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
THE FLASH in GTA 5! - Mod Gameplay!,https://www.youtube.com/watch?v=x9s7e7vyJ-w,12.0,2015-06-11,572440,12541,680,Unknown,Subscribe to Funhaus: http://bit.ly/1R7R7Ou Flash! AAAAAH AH! Runs like a shooting star! Flash! AAAAAH AH! He&#39;ll run into every car! Flash! AAAAAH AH! This m...,Thursday,35,16355.0,358.0,19.0,11861,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Watch - The Lost World: Jurassic Park,https://www.youtube.com/watch?v=swDD4hFKkU8,19.0,2015-06-10,515179,9731,457,Let's Watch,Gavin attempts to play The Lost World: Jurassic Park for the Playstation while the rest of the crew mercilessly heckles him into extinction! || FREE EDGAR: h...,Wednesday,36,14311.0,270.0,13.0,9274,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spare Games - GO! #85,https://www.youtube.com/watch?v=VJ-fEq1R39Q,18.0,2015-06-09,464819,8537,212,Unknown,"Merry (early) Christmas everyone! Geoff has gotten everyone presents: spare games! The first to open their game and beat the first level, wins. Go! || FREE E...",Tuesday,37,12563.0,231.0,6.0,8325,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - ARK: Survival Evolved,https://www.youtube.com/watch?v=ct572Z-_0sM,22.0,2015-06-09,715123,14501,194,Let's Play,"Geoff, Jack, Ryan, and Gavin test their skills against prehistoric creatures. Can they survive, thrive, and hunt the massive dino beasts in their way? || FRE...",Tuesday,37,19328.0,392.0,5.0,14307,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - GTA V - The Pacific Standard Job Part 3,https://www.youtube.com/watch?v=7bTAq9NXzTw,26.0,2015-06-08,595058,12406,221,Let's Play,"The Last Star Fighter, Gary Busey, and AH wrap up the prep work for the last heist! || FREE EDGAR: http://bit.ly/LetsPlayChannel || Be part of the Achievemen...",Monday,38,15659.0,326.0,6.0,12185,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Let's Play - Destiny: House of Wolves Part 2,https://www.youtube.com/watch?v=byRaEQLkWDI,20.0,2015-06-06,309576,5388,165,Let's Play,"The Gents finish up the House of Wolves DLC story missions. Geoff, Ryan, and Jack VS Skolas. Three on one. Is it even fair? Nope. Maybe if Skolas broke his l...",Saturday,40,7739.0,135.0,4.0,5223,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
